,File,Duration
212,812205003473311.wav,345.96
213,812205003464774.wav,470.16
214,812205003497920.wav,60.36
215,812205003480467.wav,619.68
216,812205003473982.wav,78.12
217,812205003470874.wav,442.02
218,812205003465037.wav,41.94
219,812205003477089.wav,263.94
220,812205003490900.wav,165.06
221,812205003469499.wav,81.36
222,812205003463108.wav,52.44
223,812205003495779.wav,44.58
224,812205003468491.wav,109.26
225,812205003488430.wav,55.08
226,812205003486926.wav,30.66
227,812205003477816.wav,60.72
228,812205003496178.wav,208.68
229,812205003491322.wav,88.8
230,812205003484150.wav,33.12
231,812205003480034.wav,230.64
232,812205003476515.wav,597.42
233,812205003467262.wav,319.68
234,812205003471729.wav,179.7
235,812205003486849.wav,51.48
236,812205003482306.wav,147.3
237,812205003484554.wav,43.44
238,812205003475387.wav,33.48
239,812205003473240.wav,42.9
240,812205003496085.wav,236.1
241,812205003468775.wav,51.84
242,812205003475520.wav,38.34
243,812205003491032.wav,105.18
244,812205003481777.wav,441.72
245,812205003491171.wav,101.1
246,812205003486402.wav,30.42
247,812205003475323.wav,318.78
248,812205003497079.wav,70.92
249,812205003495576.wav,34.08
250,812205003486558.wav,301.62
251,812205003477541.wav,48.72
252,812205003470067.wav,446.46
253,812205003479653.wav,36.42
254,812205003471413.wav,108.12
255,812205003484453.wav,70.56
256,812205003471186.wav,72.54
257,812205003477222.wav,295.56
258,812205003475812.wav,67.38
259,812205003480926.wav,31.5
260,812205003481306.wav,396.66
261,812205003470772.wav,78.9
262,812205003470170.wav,589.92
263,812205003466828.wav,96.24
264,812205003468997.wav,45.72
265,812205003475840.wav,293.58
266,812205003481284.wav,57.42
267,812205003488923.wav,117.9
268,812205003466025.wav,1073.16
269,812205003475194.wav,577.86
270,812205003479575.wav,60.18
271,812205003480752.wav,558.06
272,812205003485353.wav,121.02
273,812205003484451.wav,263.64
274,812205003497394.wav,39.0
275,812205003493611.wav,32.22
276,812205003482326.wav,61.62
277,812205003472038.wav,45.42
278,812205003485273.wav,129.0
279,812205003486556.wav,35.28
280,812205003487648.wav,35.76
281,812205003496902.wav,285.66
282,812205003489123.wav,95.04
283,812205003468769.wav,316.38
284,812205003479243.wav,61.74
285,812205003465513.wav,178.8
286,812205003479018.wav,67.86
287,812205003489411.wav,33.12
288,812205003473792.wav,242.52
289,812205003498187.wav,137.88
290,812205003478155.wav,36.12
291,812205003490412.wav,55.14
292,812205003479615.wav,33.12
293,812205003465523.wav,114.84
294,812205003492368.wav,116.22
295,812205003470203.wav,32.1
296,812205003493470.wav,46.38
297,812205003481170.wav,76.2
298,812205003491669.wav,80.22
299,812205003477196.wav,88.74
300,812205003485654.wav,37.38
301,812205003496526.wav,268.86
302,812205003468302.wav,50.52
303,812205003481812.wav,55.68
304,812205003497030.wav,157.74
305,812205003491391.wav,263.34
306,812205003486008.wav,286.32
307,812205003488987.wav,197.88
308,812205003496852.wav,114.0
309,812205003472977.wav,331.26
310,812205003462014.wav,139.5
311,812205003497382.wav,41.64
312,812205003464263.wav,50.94
313,812205003486710.wav,247.44
314,812205003462374.wav,55.32
315,812205003480138.wav,477.96
316,812205003477096.wav,379.92
317,812205003496306.wav,147.42
318,812205003489164.wav,45.84
319,812205003484294.wav,52.92
320,812205003476213.wav,220.62
321,812205003491139.wav,485.52
322,812205003483701.wav,38.94
323,812205003488070.wav,45.78
324,812205003493427.wav,62.28
325,812205003468521.wav,289.62
326,812205003493949.wav,37.38
327,812205003482683.wav,53.52
328,812205003498257.wav,262.38
329,812205003476257.wav,585.6
330,812205003485088.wav,115.68
331,812205003466158.wav,42.36
332,812205003494657.wav,234.3
333,812205003484932.wav,56.7
334,812205003483945.wav,552.72
335,812205003473254.wav,512.94
336,812205003484168.wav,228.9
337,812205003463808.wav,92.28
338,812205003464347.wav,58.8
339,812205003465034.wav,36.78
340,812205003474524.wav,123.48
